forecast_horizon,chronos_raw__pf_full,ffnn_large_b50__pf_full__seed60,ffnn_large_b50__pf_full__seed61,ffnn_large_b50__pf_full__seed62,ffnn_large_b50__pf_full__seed63,ffnn_large_b50__pf_full__seed64,ffnn_linear_b50__pf_full__seed60,ffnn_linear_b50__pf_full__seed61,ffnn_linear_b50__pf_full__seed62,ffnn_linear_b50__pf_full__seed63,ffnn_linear_b50__pf_full__seed64,forma_fgrid__pf_full__seed60,forma_fgrid__pf_full__seed61,forma_fgrid__pf_full__seed62,forma_fgrid__pf_full__seed63,forma_fgrid__pf_full__seed64,forma_lap05_fgrid__pf_full__seed60,forma_lap05_fgrid__pf_full__seed61,forma_lap05_fgrid__pf_full__seed62,forma_lap05_fgrid__pf_full__seed63,forma_lap05_fgrid__pf_full__seed64
11,69872.0344043122,0.9656233263492218,0.9687937710483105,0.9671159521443234,0.9668583543010524,0.9683565537646549,1.0681248188993544,1.0690731463533623,1.0679178539454113,1.0686742921905668,1.0679962733187447,0.8912015205990788,0.8967131772201146,0.8867924378989736,0.906785928408757,0.9294032790398837,0.45050508307485415,0.445560716383482,0.45328097510679166,0.4580622009588584,0.4510141727474189
12,72374.86087626999,0.9867691980725909,0.9899264768122735,0.9887015816178241,0.9877636926707797,0.9889743337869603,1.0861490353358945,1.0864830155505296,1.0856153897779302,1.0858418986024216,1.0855761185768318,0.916127647008327,0.9209835796299329,0.909947904602789,0.9314568865784602,0.9527714909028165,0.48706012376813707,0.4790450695006369,0.48872810007240136,0.4949486058710004,0.4866680306515
13,76071.26766403017,1.0135875263330303,1.0185464069186907,1.015839954962133,1.0148431555840585,1.0164697807185086,1.1089375571017894,1.1099417520248975,1.1095405356369292,1.1095718139152233,1.109378992918884,0.9519941512271243,0.957437502151148,0.9420341261756162,0.9667852210387785,0.9861158746359349,0.534893160952501,0.5268966861658684,0.5354488772034395,0.5448027651892137,0.5348132248103646
14,78717.49752865815,1.0374905382260167,1.0430636136302225,1.0400726771453828,1.0389012001317346,1.041329792690175,1.1355746641951978,1.135511003750198,1.1360236161989758,1.1355024352976677,1.1355587227354849,0.9801491015930893,0.9830304080936759,0.9675903459967898,0.9917062284327013,1.0114935545176853,0.5720218485994856,0.5611329008216204,0.5716057917985458,0.5804970098509586,0.5711687521180279
15,82375.853454648,1.0594187222209612,1.0660772289489888,1.0623989317946718,1.0608129381492943,1.0633709431666436,1.1585890472673708,1.1585607958966293,1.158918817802894,1.1595276335040468,1.158051749698628,1.0038438851230178,1.0062938817242302,0.9898582090319205,1.0152372274471828,1.033926738081766,0.6071232066396985,0.5952101794803601,0.6042436675191573,0.6137798707440368,0.6055907038046103
16,81864.11934196207,1.0785438955962072,1.0836527092181776,1.0802154704916038,1.0798884935353283,1.0803739396199505,1.1720260647590124,1.1726063471424322,1.1727635087695496,1.1720038949171991,1.1718606349459029,1.021969698856173,1.0227665863677649,1.008177522585996,1.031485115519545,1.0481070336430511,0.634781193705901,0.6185090778264585,0.631513645719416,0.6390047779034204,0.6303200572508668
17,23943.501170296124,1.1022401608199497,1.1083920301726449,1.1068096354559005,1.1050611875395469,1.1072237668701785,1.18947608060085,1.1896154152223593,1.1895301089854946,1.1898117354331725,1.1893060667103303,1.0505753103487083,1.051028405166779,1.0352015563933605,1.0576086727147331,1.0709913766807146,0.6723607654291182,0.6569162013019822,0.6688539519092975,0.675560162734769,0.6685927747439887
18,24827.79605638057,1.1240071843668662,1.1318157446126789,1.1284201092402713,1.129919689137887,1.1307609606287767,1.204096585142826,1.2047407078353103,1.2038994279597934,1.2045452364151514,1.2036511196352457,1.072087908289433,1.0719011753639405,1.0568662829191633,1.076219623001087,1.0878689530425376,0.6994864786253996,0.6808758139897447,0.6981002423665278,0.7012943869619331,0.6962986750583198
19,25959.629182808883,1.1421092355000566,1.1492125123584942,1.1465256819358842,1.1449575298608605,1.1471573075130446,1.2199990546344326,1.220071785176339,1.2199689080621505,1.2202963903097745,1.219646176970677,1.0912357670712118,1.0907885241168243,1.074690991680578,1.093764491412906,1.1064105839963707,0.7257814305377527,0.7059417598356804,0.7239029918904397,0.727551027297025,0.7254425770768779
20,27247.98037936108,1.1607892012096612,1.1651766710804135,1.1628943681971537,1.161495613482584,1.1619014835464412,1.2354533804345416,1.235273517601464,1.2359387999265754,1.2352997273592339,1.2358279176987954,1.1045917878872387,1.1037518274503657,1.088297012253536,1.1047064110975398,1.120544669599582,0.7460502089421903,0.7244878404411168,0.7421367124225069,0.7462419935231821,0.7450149376442458
