forecast_horizon,chronos_raw__pf_full,ffnn_large_b50__pf_full__seed60,ffnn_large_b50__pf_full__seed61,ffnn_large_b50__pf_full__seed62,ffnn_large_b50__pf_full__seed63,ffnn_large_b50__pf_full__seed64,ffnn_linear_b50__pf_full__seed60,ffnn_linear_b50__pf_full__seed61,ffnn_linear_b50__pf_full__seed62,ffnn_linear_b50__pf_full__seed63,ffnn_linear_b50__pf_full__seed64,forma_fgrid__pf_full__seed60,forma_fgrid__pf_full__seed61,forma_fgrid__pf_full__seed62,forma_fgrid__pf_full__seed63,forma_fgrid__pf_full__seed64
1,31661.64488738431,0.8994309792643038,0.9540020159035262,0.9299021046295982,0.9150513913051799,0.9472881182637826,0.48599583408757224,0.48760437616970836,0.4867656897094735,0.4891105347550999,0.48681848712070974,1.0593065105813815,0.969775213279198,1.0805832740927865,1.625911894850873,1.2957043665705985
2,46222.66489471175,0.8925043591576332,0.9417133394896288,0.9073555187661227,0.9006026407263847,0.9357985541926546,0.5291100712353716,0.5298843941027332,0.5308435872157993,0.530317244137806,0.529925401602013,0.9878424894174087,0.9566224475421482,1.1220779138093746,1.5489701407335654,1.3168198060294387
3,60854.84215845322,0.8902153148237227,0.9328489639122948,0.901423433115253,0.8962086591015994,0.9333594056047483,0.5626914730364311,0.5628864384805207,0.5640796892650909,0.5637406677161078,0.5651169234395202,0.9614699333312478,0.9728947135713342,1.1596791525253838,1.4915117167117817,1.3460562178331097
4,72583.33391694233,0.8949793849298344,0.9322613192314002,0.897881109476315,0.8975690785017779,0.9353324415044612,0.588717657248391,0.5876013755998806,0.5883374959825975,0.5886987577824855,0.5910332451826988,0.9411639540490685,0.9524394649614703,1.1583938719396367,1.444380943899714,1.3319543913532705
5,85332.09780856907,0.8897310067021149,0.9283298060926899,0.8948551515891899,0.8895377434782046,0.9224870660104016,0.6199769681132525,0.6195113595472977,0.6208739053170725,0.6190378818588147,0.6222630282598882,0.9400912574962227,0.9242981271521866,1.1616439550381803,1.4254766684803306,1.3193995599293404
6,94854.15596641324,0.8858150280905023,0.9211993908882113,0.889216590060566,0.8931071894085085,0.9250233637737072,0.6458482005603159,0.6452782770695515,0.6461431023908027,0.6445579911618302,0.6473717814827726,0.9333695253938973,0.8960751599930733,1.12783965314582,1.3908241938526396,1.2780579178622558
7,106250.78150739778,0.8874026807765314,0.9241213562807805,0.8882985924305132,0.891927355975951,0.9223434117203856,0.6602853948780804,0.6627218021006316,0.6609208031145261,0.6612863694506519,0.66461347751267,0.942795965172528,0.9052216278781098,1.1026504200300713,1.3758165049773379,1.258272037437715
8,113453.5101731205,0.8867809624340458,0.9209501908601601,0.8881246146987312,0.8893632683471168,0.9205471452533356,0.6701058776340997,0.6732109050275428,0.671443142742262,0.671012198719787,0.6739887088193157,0.9311347438138504,0.9170539220773837,1.0608999258146858,1.3274403637145293,1.233324786546761
9,123104.2794263081,0.8881170812691349,0.9166883086353611,0.887447565768008,0.8848716417040672,0.9170404321260873,0.6836345893731289,0.6853036752269187,0.6859315417890055,0.6840329856519266,0.6860210225944927,0.9338399051517876,0.9282044695794531,1.0374161020842176,1.275975884713828,1.194498330671989
10,130517.55307355791,0.8871169433627432,0.9230111968520637,0.8886735894294657,0.8845005252136288,0.9213601807501812,0.6901315112884195,0.6910514155879462,0.690809796422033,0.6887687543181155,0.6928284739605549,0.9295531235662858,0.9339746424712044,1.0165360221889104,1.2262880726193073,1.1694187541152101
