horizon,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19
11,0.5806269043836083,0.48113772690223355,0.5873293819700263,0.7243349245816777,0.9001262604642528,1.1720323608904382,1.5832768678135207,1.8412012343579351,2.2137977054249514,2.1587089014592884,1.9008463326336889,1.1780396141401936,0.8601984968477371,0.6995913754588641,0.5898733880612215,0.5108160813628766,0.4531253359446303,0.41596430769753673,0.405407197400067,0.7435656022052516
12,0.5776994698487417,0.48515114567638307,0.5918977197356929,0.7312818979054245,0.9117013046649307,1.1893092715972688,1.5953028282641517,1.8577411487101803,2.2323830453362685,2.1025264836084094,1.864227699063448,1.154948264540502,0.8590529306077223,0.7026263590383597,0.5931268338001874,0.5164129350113869,0.4591798333308112,0.42150418318398825,0.4092579778919386,0.7446686681842041
13,0.5807679634790509,0.4963552310835145,0.6027041211048769,0.7386483521010511,0.9203594797415366,1.201322136203952,1.5881889649068182,1.850716047906003,2.2360089381303467,2.0443955208415456,1.8220087483933871,1.1252795779670084,0.8577560419057983,0.7087546738061297,0.6036646557476602,0.5279887457125337,0.4734627211137852,0.4376720013980031,0.4245158832210142,0.7594301952359851
14,0.5831792513039871,0.5043992518400912,0.6112277021822241,0.7501562858533115,0.9342124770404061,1.2205725721507412,1.5950793976690394,1.858467502495651,2.2328205394285545,1.9994528288368256,1.7848272037922253,1.104138802965705,0.8576343851729982,0.7135775989534328,0.606989173786635,0.5316097705194036,0.4806238239934196,0.4433566816505137,0.43002450484566995,0.7576502455191647
15,0.5861876047576234,0.5066599226322805,0.6140920281453248,0.751111546826851,0.9356291125232629,1.224547892719439,1.58597258960581,1.8589610790877653,2.2323055699641117,1.976080564343454,1.7658336320074166,1.0967840631282675,0.8600711731095365,0.7191075716502711,0.6120271581721343,0.5386125779411057,0.4849742596901533,0.44874847068680845,0.4370128244575999,0.7652803585507844
16,0.5816971197913335,0.5085367578807028,0.6183610153496151,0.7582155612269615,0.9488135586651396,1.2440563600813117,1.5940593637302607,1.87004780646424,2.225825567447422,1.942045465555898,1.7465315605991019,1.0969248448276196,0.8630743025236465,0.7223872614279153,0.6125428504434742,0.5381608754377092,0.486419049722986,0.44769329449905915,0.4368383009811274,0.7577690833444759
17,0.5790440057063794,0.5133763396140943,0.6242997501967259,0.7639937364859501,0.9548466747702944,1.2527894535462445,1.579445590564742,1.863268733999034,2.2097008613762257,1.9046206126568135,1.734138726357233,1.0961411152680962,0.8665225277008135,0.7280954995440176,0.6204449279047692,0.5463548511050368,0.4934319664326391,0.4589069486277903,0.44716102065166274,0.7634166574914376
18,0.5751520985739799,0.5164232043494237,0.6294355406057894,0.7677776754283407,0.9643392067288793,1.2634548738520697,1.5740696689243152,1.862934646285407,2.199481526995114,1.8837666932212844,1.722075390145369,1.0968794781393412,0.8717489573010522,0.7336666325876783,0.6239424125831772,0.549230135408305,0.4962946692026832,0.4609588072758977,0.44847442540632443,0.7598939569855684
19,0.5745506169194066,0.5176102126331368,0.6286623562778848,0.7660875884124052,0.957855109397951,1.2569114969268198,1.5520325819636698,1.8574414947410332,2.203272827392472,1.8844069180808884,1.7187837095502023,1.097410264152081,0.8760082660860367,0.7416351545413151,0.6282260856996801,0.5534127753680922,0.500217913606898,0.4662491060665109,0.4534482888572327,0.7657772333262838
20,0.5742226789856543,0.5199901315741453,0.6310099224394282,0.7708539837930083,0.9647152681773923,1.268129217985644,1.5526749127388824,1.8708075613163546,2.208801146839549,1.8631890927617432,1.6988564450601666,1.0845140895136298,0.8767315364817895,0.7412085610054115,0.6291595925916735,0.5543891137832421,0.5030835181230138,0.46764440966813764,0.45386182452011864,0.7661569926410156
pooled,0.543879999863955,0.44052704102718276,0.5363287024818992,0.6665487344323896,0.8408461553978052,1.0999492370273476,1.4693947318504237,1.8292131720292784,2.257941203943307,2.266031120120306,2.0037366625422366,1.3114826165612128,0.9448633272226004,0.7355742028537329,0.5997162445200863,0.5083951482639296,0.4449583464108414,0.4025433844742396,0.3857815406843794,0.7122884282928466
