forecast_horizon,ffnn_large_b50__pf_full,ffnn_linear_b50__pf_full,forma_fgrid__pf_full,forma_lap05_fgrid__pf_full
1,0.4433409420278398,0.6977853187079183,0.01534807983636175,-0.7066728820518317
2,0.5451336252947188,0.7625440724431035,0.2181931958561649,-0.4428075436237585
3,0.6150531543375743,0.8112184402909282,0.3446520708115815,-0.2703817637982293
4,0.6713872753635414,0.8536228640388768,0.4354722735602798,-0.14750337130004731
5,0.7300886349491728,0.8992543352460611,0.5298934013205131,-0.01700554756277609
6,0.7786037555965754,0.9382259682513887,0.5982456207717644,0.07468440108914384
7,0.8164222851955262,0.968654358433676,0.653470450030195,0.14933587377665802
8,0.8478489445558766,0.9942873085352223,0.6968101459691552,0.20861803906764606
9,0.8851012796340549,1.0233268551257009,0.7492752412820541,0.2786171747034022
10,0.9170849961990541,1.0464981119571843,0.7892159696696529,0.330755791422568
11,0.9439006571225949,1.064743659693712,0.8222587243098192,0.37738621612640694
12,0.9655863245050323,1.0824999532840691,0.8474746930931647,0.41425801097659815
13,0.9937835504217674,1.105957361357172,0.8827386175948289,0.46260820732880015
14,1.018473785225569,1.1314285073652635,0.9107989692590734,0.5008679732300639
15,1.0411681471914056,1.1536435543598116,0.9358699702360741,0.5358437481361464
16,1.0592943388023874,1.1671935890236407,0.9558845490719684,0.5628996107311902
17,1.0853022067278446,1.1842184370523432,0.9857382031054515,0.6002654078133179
18,1.1083873027068807,1.1990666635840457,1.0085480286593438,0.6297556979926966
19,1.126312201457785,1.2141854392383227,1.028221089665913,0.6589032246796694
20,1.142571978210398,1.2285600808272783,1.0430739764085328,0.6824261934966837
