horizon,n_cells,family,mean_pit,z2_mixture,crps_mixture,cov_50,cov_80,cov_90,cov_95
1,23095170,gaussian,0.4906657381397495,1.0041420958013754,0.1851383987830483,0.7886081808447394,0.9228779870423123,0.9521956322469157,0.9665381116484529
2,22453003,gaussian,0.48519252091816384,1.0137394059559974,0.21456516608192308,0.7729288149117515,0.9138618117140055,0.9461800722157299,0.9622721735707246
3,21341706,gaussian,0.48163009336680207,1.0234759228540664,0.23652265153526714,0.7600030662965744,0.9071794916488869,0.9418354840048869,0.9592884936190199
4,20850419,gaussian,0.47736797976893935,1.009125664617506,0.25439074900882763,0.7524636795068722,0.9040040873998744,0.9399086896047508,0.9581391625751022
5,19737647,gaussian,0.4740385327797125,0.9991185036780461,0.27567910446930916,0.737893985032765,0.8985505212450096,0.9373651783315408,0.9569791677802324
6,19172204,gaussian,0.4697970635128298,0.9788991528824138,0.29191760997513866,0.731357803203012,0.8966313419156191,0.9367094675187058,0.9568161803410813
7,18236524,gaussian,0.4672636627911039,0.9778221417443186,0.30558160177175975,0.7243669352777975,0.8936484277376544,0.9351120860532413,0.9559490065102318
8,17780951,gaussian,0.46465956343494336,0.9643756161129866,0.3168071560860246,0.7210578894233497,0.8927674340928109,0.9348161974013651,0.9559554491770434
9,16838540,gaussian,0.4645693108787832,0.9528205888660419,0.33102784918594963,0.7154616730429123,0.8913228225249933,0.9344986560592545,0.9560914426072569
10,16331820,gaussian,0.4639716502768268,0.9401762943272898,0.3423627718667778,0.7130875799512852,0.8910961546233059,0.9347016437849548,0.9564257382214597
11,15534554,gaussian,0.46478893317849906,0.9428801167142873,0.352188537040141,0.7098783138543919,0.889463128455442,0.933790374670557,0.9559353940898464
12,15132851,gaussian,0.4643280602950048,0.9346326928162346,0.36022780720508357,0.707562243228325,0.8891611369199366,0.9338815930983527,0.9562041547888102
13,14346177,gaussian,0.46498236632086803,0.9358118292401028,0.3715584490282221,0.7019047652904324,0.8869465363490218,0.9329900920642482,0.9559596260383515
14,13915207,gaussian,0.46426536646804806,0.9291260458494085,0.3809710878221138,0.6986780002625904,0.8862373373245543,0.9329585251588424,0.956119445438361
15,13250229,gaussian,0.46479981545871313,0.9266562623854189,0.38957876219239806,0.6965845646894103,0.8852429644800855,0.9324266018345796,0.9558670269019501
16,12900975,gaussian,0.46403157912316617,0.9138431637502846,0.39656829789891157,0.6958747691550445,0.8857579369001181,0.9330266898432096,0.9563627555281674
17,12234027,gaussian,0.46482321608270566,0.9087672904566668,0.4068775970977043,0.6927584024458995,0.8848500988268213,0.9328769668401091,0.9564815411965333
18,11854812,gaussian,0.46473888940079694,0.8971623514974869,0.4151876061316483,0.6916010140017403,0.8850028157342352,0.9332476972220226,0.9569014675222179
19,11277405,gaussian,0.46577929253429295,0.8930258225880257,0.42254643550920634,0.6908064399567099,0.884430682413197,0.9329836074877155,0.9568139124204549
20,10960208,gaussian,0.4653524356140021,0.890036267314784,0.42788527335726023,0.6897036078147422,0.8842884186139534,0.9329810164186665,0.9568965297008962
pooled,327244429,gaussian,0.47083296196152014,0.9610393201302182,0.3179322127535299,0.7258951259335266,0.8958761495065818,0.93719157859216,0.9577797335092296
