horizon,n_cells,family,mean_pit,z2_mixture,crps_mixture,cov_50,cov_80,cov_90,cov_95
1,23095170,gaussian,0.5060726706341532,0.8078149475367057,0.239994513072218,0.7267500953662606,0.910236426057916,0.9485419245669117,0.9661823229705605
2,22453003,gaussian,0.501801325144217,0.825833476969491,0.26139216094424816,0.727222323000625,0.907544572100222,0.945712027918938,0.9638245271690383
3,21341706,gaussian,0.49911386686889475,0.8357610230177762,0.27822532342105716,0.724264358247649,0.9045490552629672,0.9435634152208825,0.9622951417285948
4,20850419,gaussian,0.49548448553583047,0.8442147363707281,0.29264111726540804,0.720096991815848,0.902076260433903,0.9419176660190858,0.9611595335326355
5,19737647,gaussian,0.49265940124053864,0.8471214061607212,0.30871580712291297,0.716188206223366,0.8997423046424936,0.9405765033694239,0.9603958364439287
6,19172204,gaussian,0.48921312845891796,0.84978667150735,0.3228041870785873,0.7114901343632688,0.8975832408209301,0.939492767758991,0.959774264868035
7,18236524,gaussian,0.4866848073630267,0.8522752788483245,0.33453343295466464,0.7074137044976334,0.8956879063137252,0.9384808201387501,0.9592854427740725
8,17780951,gaussian,0.48340717495656454,0.8520931133146803,0.3445155797812,0.7038890102109836,0.8946742499880912,0.9381123653059952,0.9591085426195708
9,16838540,gaussian,0.48204844520197143,0.8528520313838163,0.3566142142691919,0.7003328079512832,0.8932359337567272,0.9375838404042156,0.9589482817393907
10,16331820,gaussian,0.4797858348291482,0.8560579188077744,0.36744654539083826,0.6959512779347311,0.8917483170889711,0.9369010312384045,0.9586741710354388
11,15534554,gaussian,0.47842694792520907,0.856657456475608,0.37701088953117784,0.6929633769981424,0.8906641284970267,0.936450058366658,0.9584868030327746
12,15132851,gaussian,0.47602941495125944,0.8556464309047094,0.3849365163187553,0.6902358319658338,0.8899249057563575,0.9362643562670379,0.9584521118988087
13,14346177,gaussian,0.4738448266810092,0.857949732448093,0.39514779758156554,0.6872576575627082,0.8883726305621351,0.9354708226449457,0.9581344911609553
14,13915207,gaussian,0.47132394712826736,0.8607438624825591,0.4045699227709165,0.6829291148884814,0.8870859053695715,0.9350958990405245,0.9580340414626962
15,13250229,gaussian,0.4696193522164227,0.8619109325099807,0.4133651242304062,0.6791412435211497,0.8856974471912901,0.9345019621925025,0.9578463134486204
16,12900975,gaussian,0.4670774315190348,0.8628715626587842,0.42027620073137884,0.6754112770546412,0.8846966217669595,0.9340584723247661,0.9576861438767225
17,12234027,gaussian,0.4651937976994496,0.8696076339096408,0.4298464320154255,0.6711567662879934,0.8835071232064471,0.9338078132408896,0.9577189914653613
18,11854812,gaussian,0.46244719967242465,0.8706975958543607,0.43898555748706325,0.6673276640743017,0.8821800801227383,0.9332498060703114,0.9576548324849015
19,11277405,gaussian,0.461406125587898,0.8598059901443638,0.44718657785808086,0.6671237753720825,0.8828212696094536,0.9340611603467287,0.958234097294546
20,10960208,gaussian,0.4602961182702353,0.8563025774199168,0.4534631858311338,0.6653467707912113,0.8833122510083751,0.9345466801359974,0.9587656548123904
pooled,327244429,gaussian,0.4832078102802853,0.8489750191112077,0.349345853607384,0.7002681625483073,0.8946589309240769,0.9388196368653842,0.959964748551915
